Time,PANOC_iters,PANOC_gamma,PANDA_iters,PANDA_gamma
1,302,0.0014495849609375,209,0.00579833984375
2,278,0.0014495849609375,231,0.002899169921875
3,290,0.0014495849609375,200,0.00579833984375
4,308,0.0014495849609375,213,0.00579833984375
5,301,0.0014495849609375,245,0.00579833984375
6,331,0.0014495849609375,255,0.00579833984375
7,456,0.0014495849609375,314,0.00579833984375
8,305,0.002899169921875,268,0.00579833984375
9,337,0.002899169921875,223,0.00579833984375
10,313,0.002899169921875,195,0.00579833984375
11,297,0.002899169921875,200,0.002899169921875
12,344,0.002899169921875,205,0.00579833984375
13,231,0.00579833984375,179,0.0115966796875
14,233,0.00579833984375,180,0.00579833984375
15,187,0.0115966796875,121,0.0115966796875
16,180,0.0115966796875,127,0.0115966796875
17,145,0.023193359375,123,0.04638671875
18,129,0.023193359375,108,0.04638671875
19,97,0.04638671875,98,0.0927734375
20,74,0.0927734375,74,0.0927734375
21,110,0.04638671875,97,0.37109375
22,98,0.04638671875,91,0.04638671875
23,107,0.04638671875,100,0.04638671875
24,97,0.04638671875,98,0.04638671875
25,233,0.00579833984375,106,0.185546875
26,174,0.0115966796875,102,0.37109375
27,129,0.023193359375,98,0.37109375
28,99,0.04638671875,100,0.04638671875
29,93,0.04638671875,96,0.04638671875
30,72,0.0927734375,63,0.0927734375
31,482,0.0014495849609375,122,0.185546875
32,344,0.002899169921875,125,0.0927734375
33,226,0.00579833984375,116,0.185546875
34,279,0.002899169921875,113,0.185546875
35,61,0.0927734375,58,0.0927734375
36,59,0.0927734375,68,0.0927734375
37,65,0.0927734375,57,0.0927734375
38,64,0.0927734375,66,0.0927734375
39,65,0.0927734375,67,0.0927734375
40,67,0.0927734375,66,0.0927734375
41,59,0.0927734375,62,0.0927734375
42,59,0.0927734375,57,0.0927734375
43,47,0.0927734375,51,0.0927734375
44,56,0.0115966796875,71,0.0115966796875
45,32,0.0927734375,32,0.0927734375
46,28,0.0927734375,28,0.0927734375
47,28,0.0927734375,28,0.0927734375
48,29,0.0927734375,28,0.0927734375
49,25,0.0927734375,26,0.0927734375
50,27,0.0927734375,27,0.0927734375
