epoch,loss_mean,loss_std,grad_norm_mean,grad_norm_std,forward_total_time_s,backward_total_time_s,forward_time_mean_s,backward_time_mean_s,theta_0_q1,theta_1_q2,theta_2_q3,theta_3_r1,theta_4_r2,theta_5_w1,theta_6_w2,theta_7_w3,theta_8_eta_circle,theta_9_circle_r
1,10.14895494,6.929142783,67.75089334,55.04145967,0.307431261,0.042163509,0.006148625,0.00084327,0.338386212,0.909070606,0.11982893,0.068328928,0.027266484,5.599969081,3.300004039,0.400862429,100.0000003,0.508120873
2,9.344798123,6.480675508,62.48367986,51.9137082,0.324553771,0.042642192,0.006491075,0.000852844,0.336929466,0.908206749,0.119452574,0.066530658,0.033194865,5.599937709,3.300008296,0.401738513,100.0000006,0.515960392
3,8.625607591,6.078961325,58.75438203,49.71923896,0.357065899,0.04189592,0.007141318,0.000837918,0.335628814,0.907396479,0.118934745,0.064633456,0.038221366,5.599905887,3.3000128,0.402626606,100.0000009,0.52351044
4,7.997007003,5.718415504,55.82876276,48.12342116,0.442963752,0.046150699,0.008859275,0.000923014,0.334451305,0.906632699,0.118310338,0.062664027,0.042566762,5.599873655,3.300017576,0.403519739,100.0000013,0.530784531
5,7.424331377,5.397907377,54.11457953,47.5421227,0.330926762,0.042514004,0.006618535,0.00085028,0.333467165,0.905924164,0.117599797,0.060632994,0.046370161,5.599840828,3.300022669,0.404428086,100.0000016,0.537967599
6,6.719215522,5.101618767,52.16907211,46.91721185,0.408593086,0.043139397,0.008171862,0.000862788,0.332579867,0.905254426,0.116821156,0.058552678,0.049747137,5.599807257,3.300028132,0.405355852,100.0000019,0.544896405
7,6.260068685,4.82065911,50.59727863,47.18392699,0.314048569,0.041276948,0.006280971,0.000825539,0.331710716,0.904615032,0.115978297,0.05643561,0.052761303,5.599770323,3.300033937,0.406295332,100.0000022,0.551646379
8,5.836758242,4.207169052,44.99502083,33.09227986,0.308125167,0.041109386,0.006162503,0.000822188,0.331194247,0.904046282,0.114873365,0.054317548,0.054760908,5.599754753,3.300034585,0.406895616,100.0000024,0.557876307
9,5.453349893,3.989969518,43.49235058,31.63402156,0.325413062,0.040949949,0.006508261,0.000818999,0.330739753,0.903502218,0.113721006,0.052174226,0.056506145,5.599739388,3.300035267,0.407494797,100.0000027,0.563861814
10,5.095212201,3.789772474,42.09697302,30.27969605,0.339012163,0.041645856,0.006780243,0.000832917,0.330347709,0.902981996,0.112523311,0.050005472,0.058011728,5.599724222,3.300035987,0.408092918,100.000003,0.569612594
11,4.708552995,3.606873172,40.78618111,29.0392817,0.390890901,0.042882658,0.007817818,0.000857653,0.330010798,0.90248353,0.111284304,0.047825312,0.059303523,5.599709238,3.30003675,0.408690165,100.0000033,0.575137849
12,4.338684107,3.43786498,39.55658069,27.89611226,0.451264498,0.043133144,0.00902529,0.000862663,0.329726559,0.902005901,0.11000565,0.045637191,0.06039469,5.599694429,3.300037557,0.409286636,100.0000036,0.580447496
13,4.009630533,3.282764605,38.44779553,26.81483936,0.536311417,0.04211233,0.010726228,0.000842247,0.329486901,0.901546889,0.108691197,0.043448227,0.061308728,5.599679782,3.300038404,0.409882315,100.0000039,0.585551073
14,3.711670553,3.136079638,38.66169948,26.59043308,0.298166978,0.044051874,0.00596334,0.000881037,0.329021097,0.901123057,0.107329733,0.041292916,0.062006184,5.599665452,3.300039312,0.410477823,100.0000041,0.590658864
15,3.439342742,2.989557027,37.65367155,25.68326636,0.331517,0.04408872,0.00663034,0.000881774,0.328591553,0.900720483,0.105929622,0.039149102,0.062526225,5.599651231,3.300040274,0.41107422,100.0000042,0.595582067
16,3.179967423,2.85299713,36.66677829,24.74093427,0.333575099,0.045505689,0.006671502,0.000910114,0.328194469,0.900336168,0.10449437,0.03702199,0.062883232,5.59963695,3.300041282,0.411671029,100.0000044,0.600319389
17,2.935500925,2.727036776,35.75362862,23.86819877,0.294320201,0.043031088,0.005886404,0.000860622,0.327855825,0.899969384,0.103025977,0.034889493,0.063089205,5.599622758,3.300042351,0.412271036,100.0000045,0.604864943
18,2.707541831,2.608232149,34.86927957,22.95014895,0.381042095,0.041974894,0.007620842,0.000839498,0.327575981,0.899621998,0.101525314,0.032751508,0.063144184,5.599608704,3.300043468,0.412869524,100.0000047,0.609228375
19,2.51122716,2.502549254,34.04676603,22.1967466,0.368745268,0.042550031,0.007374905,0.000851001,0.327329036,0.899290427,0.099995942,0.03061407,0.063071158,5.599594393,3.300044619,0.413468803,100.0000048,0.613431437
20,2.330630049,2.402922422,33.16455296,21.52563673,0.415177475,0.044113553,0.00830355,0.000882271,0.327133029,0.89897319,0.098439554,0.028495521,0.06288075,5.599580181,3.300045826,0.414069035,100.0000049,0.617457391
21,2.169233076,2.312210261,32.38684687,20.86490289,0.548310049,0.044507429,0.010966201,0.000890149,0.326986481,0.898669172,0.096857496,0.026394202,0.062578559,5.599566069,3.300047088,0.414670137,100.0000051,0.621311847
22,2.021217636,2.226483397,31.63740638,20.28729373,0.565901632,0.049014532,0.011318033,0.000980291,0.326888294,0.898378031,0.095249663,0.024319023,0.062163172,5.599552062,3.300048405,0.415271154,100.0000052,0.625002928
23,1.889779622,2.146752802,30.84512587,19.86378449,0.539922667,0.045470955,0.010798453,0.000909419,0.326846555,0.898100033,0.093615766,0.022292606,0.06162839,5.599538153,3.300049783,0.415872374,100.0000053,0.628535992
24,1.768291877,2.078648389,30.66242601,20.06598375,0.453651806,0.045617104,0.009073036,0.000912342,0.326877351,0.897846581,0.091947975,0.020370246,0.060953559,5.599524048,3.300051193,0.416476076,100.0000054,0.63210128
25,1.659563321,2.011457654,29.74912032,19.79127176,0.423562446,0.045754842,0.008471249,0.000915097,0.326938463,0.897601399,0.090258129,0.018580542,0.06019162,5.599510038,3.300052659,0.417081815,100.0000056,0.635512636
26,1.569444774,1.948014314,28.93679658,19.58497494,0.494666317,0.045358853,0.009893326,0.000907177,0.327044215,0.89736509,0.088546875,0.016906557,0.059333405,5.599496119,3.300054182,0.417689631,100.0000057,0.638775901
27,1.490269461,1.889586635,28.19116125,19.42498482,0.553124062,0.044708201,0.011062481,0.000894164,0.327201182,0.897137213,0.086815412,0.015337478,0.058381791,5.599482288,3.300055762,0.418299694,100.0000058,0.641895295
28,1.422882885,1.837477762,27.44899684,19.28638099,0.594975459,0.045049298,0.011899509,0.000900986,0.327404431,0.89691521,0.085067749,0.013899035,0.057359309,5.59946854,3.300057395,0.418912129,100.0000059,0.644878043
29,1.368109918,1.788672313,26.70990467,19.23330995,0.674606123,0.051327454,0.013492122,0.001026549,0.327662106,0.896699084,0.083305977,0.012599407,0.05626756,5.599454866,3.300059081,0.419526836,100.000006,0.647727884
30,1.318270922,1.745689327,25.93045541,19.28035169,0.736173477,0.046401,0.01472347,0.00092802,0.327977796,0.896489515,0.081532165,0.011487137,0.055116802,5.599441271,3.30006082,0.420144132,100.0000062,0.650459076
31,1.26495816,1.706462722,25.06592957,19.41708392,0.622770488,0.043756863,0.01245541,0.000875137,0.328341144,0.896283394,0.079749209,0.010623949,0.053919705,5.59942775,3.300062607,0.420764037,100.0000063,0.653064592
32,1.217086355,1.671049183,24.53189099,19.28549179,0.581005788,0.043963395,0.011620116,0.000879268,0.328760588,0.896080775,0.077958179,0.01001734,0.052674661,5.599414301,3.300064442,0.421386575,100.0000064,0.655548775
33,1.172668339,1.642529706,24.2471155,19.07678576,0.508982754,0.043581174,0.010179655,0.000871623,0.329230576,0.895880381,0.076159546,0.009655944,0.051390404,5.599400856,3.30006632,0.422012971,100.0000065,0.657921497
34,1.132915225,1.614970555,24.11807048,18.84122265,0.534975648,0.042562727,0.010699513,0.000851255,0.329752624,0.895682201,0.074351622,0.009464385,0.05006056,5.599387493,3.300068249,0.422642095,100.0000066,0.66018379
35,1.095983073,1.590730199,24.09016975,18.61567653,0.552779247,0.042723311,0.011055585,0.000854466,0.33032374,0.895485689,0.072533189,0.009394766,0.048683829,5.599374212,3.300070227,0.423273772,100.0000068,0.662340862
36,1.061727245,1.569585459,24.06605982,18.47478834,0.484975514,0.044037595,0.00969951,0.000880752,0.330952197,0.895290942,0.0707047,0.009395349,0.047256666,5.599361013,3.300072255,0.423907637,100.0000069,0.664396303
37,1.030647513,1.550967094,24.04221797,18.38567705,0.450566652,0.043133387,0.009011333,0.000862668,0.33162814,0.895096619,0.068866759,0.009430156,0.045787141,5.599347886,3.300074332,0.424544033,100.000007,0.666354364
38,1.00172312,1.534951755,24.01079496,18.32102535,0.445234549,0.043375871,0.008904691,0.000867517,0.33235305,0.894902306,0.067021609,0.009484489,0.044283457,5.59933483,3.300076458,0.425183284,100.0000071,0.668217719
39,0.975691357,1.52191674,23.96820474,18.25500255,0.400471054,0.04299703,0.008009421,0.000859941,0.333125735,0.894707215,0.065172723,0.009565272,0.042758943,5.599321842,3.300078629,0.425825509,100.0000073,0.669988586
40,0.951796871,1.511297532,23.89923207,18.21421102,0.940223839,0.042762757,0.018804477,0.000855255,0.333949713,0.894512569,0.063322603,0.00965738,0.041223783,5.599308929,3.300080844,0.426470616,100.0000074,0.671675655
41,0.930321092,1.501793314,23.9830655,18.06597643,0.507040911,0.042441237,0.010140818,0.000848825,0.334660178,0.894319552,0.061468335,0.009770219,0.039682669,5.59929612,3.300083092,0.427115927,100.0000074,0.673375734
42,0.909742369,1.492873054,23.83478283,17.94302773,0.439313589,0.042516261,0.008786272,0.000850325,0.335424225,0.894127908,0.059622961,0.009882205,0.038157096,5.599283408,3.300085374,0.427761922,100.0000075,0.675020795
43,0.891571436,1.486255401,23.60165368,17.81446701,0.428132112,0.042034631,0.008562642,0.000840693,0.336240568,0.893936466,0.057788907,0.009986756,0.036655767,5.599270796,3.300087685,0.428408632,100.0000075,0.676572735
44,0.874021771,1.483347935,23.48207013,17.72707801,0.449402379,0.044055535,0.008988048,0.000881111,0.337109619,0.893745209,0.055967806,0.010105242,0.035181897,5.599258242,3.300090028,0.429058396,100.0000076,0.6780347
45,0.857941004,1.482630274,23.33553654,17.70216516,0.417226331,0.045390088,0.008344527,0.000907802,0.338025771,0.893553797,0.054160518,0.010230909,0.033738466,5.59924574,3.300092399,0.429711328,100.0000076,0.679412057
46,0.84288398,1.482948647,23.26307157,17.74908955,0.428876192,0.043810234,0.008577524,0.000876205,0.338987343,0.893366729,0.05236544,0.010350614,0.03231034,5.599233272,3.300094796,0.430367212,100.0000077,0.680736766
47,0.828517625,1.484535897,23.42632177,17.8212452,0.419968633,0.043725845,0.008399373,0.000874517,0.34002695,0.89319059,0.050579268,0.010464638,0.030882072,5.599220856,3.300097215,0.431026017,100.0000077,0.682088302
48,0.815343679,1.487490981,23.18071502,17.76705782,0.426821268,0.045317008,0.008536425,0.00090634,0.341103079,0.893014739,0.04881814,0.010605267,0.029514353,5.599208494,3.300099652,0.431687925,100.0000077,0.683356292
